"project_id","window_idx","language","domain","forks","watchers","num_team_year","num_commits_year","project_age","user_ID","gender","absent","score.increase"
412561,10,"C","OTHER",1,2,19,105,"1",38270,"None",0,0.025237873039703
3013492,4,"JavaScript","GUI",40,84,62,197,"1",163504,"male",0,0.0206528575196283
3329,10,"Ruby","DEV_FRAME",103,65,54,209,"1",284280,"male",0,0.0205514191231665
19593,9,"Ruby","GUI",169,804,136,350,"2",167959,"male",0,0.020470268405997
3231,17,"Python","GUI",5516,8760,2580,10160,"4",1661857,"male",0,0.0187661033454383
3214347,3,"Go","APPLICATION",1278,106,1256,9543,"0",3592,"None",0,0.0150940333935201
3778226,2,"JavaScript","APPLICATION",29,51,20,143,"0",9969,"male",0,0.0138361972773934
2607474,3,"Ruby","OTHER",25,32,22,175,"0",158150,"male",1,0.0109959221764623
557474,3,"JavaScript","OTHER",1,2,6,95,"1",140187,"male",0,0.00975837373962793
12789,9,"JavaScript","DEV_FRAME",738,2193,497,820,"2",128657,"male",0,0.00969751070175082
1686129,7,"Ruby","OTHER",23,36,24,127,"1",8153,"male",0,0.00965693534316608
46357,18,"Ruby","OTHER",379,609,267,2144,"4",3917,"male",0,0.00961635998458138
3831054,4,"Python","OTHER",18,10,23,285,"1",19596,"male",1,0.00862226369925545
1088,24,"C","GUI",4464,7857,807,43903,"2",598755,"None",0,0.00860197601996307
3545,15,"C","MID_TEAR",1371,1362,756,10751,"3",18320,"male",0,0.00858168834067072
